name,price,description,link_image
Sữa Tắm Cho Chó SOS Phục Hồi Da Lông (Sosd),100.000₫,"Sữa tắm cho chó SOS phục hồi da lông 530ml

– Sữa tắm cho chó SOS phục hồi da lông loại chăm sóc lông, khử mùi, diệt khuẩn, phòng trừ ve rận cho tất cả các giống chó, với tính năng thích hợp cho nhiều giống chó, không gây kích ứng da..
- Sữa tắm cho chó SOS phục hồi da lông có bán tại kunmiu.vn",https://bizweb.dktcdn.net/100/229/172/products/sua-tam-sos-phuc-hoi-da-va-long-min.jpg?v=1532990699337
Sữa Tắm Cho Chó Mèo Joyce & Dolls Violet Diamond 400ml,180.000₫,"Sữa tắm cho chó mèo Joyce & Dolls với công thức hương thơm 3 giai đoạn
Đặc biệt được chiết xuất từ tinh dầu của các loài hoa tạo lên 6 hương thơm và công dụng khác nhau:
1.Joyce & Dolls Sexy Bloom với tinh dầu hoa quýt được để thanh tẩy lông, chống viêm và phát triển các tế bào mới. Sản phẩm này có khả năng cải thiện lưu thông máu và tạo sức đề kháng với các tác động bên ngoài, tạo cho thú cưng cảm giác trầm tĩnh khi sử dụng..
2. Sữa tắm cho chó mèo Joyce & Dolls Jasmine 400ml với tinh chất hoa nhài như một vị thuốc an thần, làm giảm đau nhanh chóng. Do vậy, sản phẩm sữa tắm Moder Jasmine – hương hoa nhài có tác dụng làm giảm da bị khô và nhạy cảm, làm giảm sự căng thẳng cho chó mèo bị stress. Khôi phục lại sự tự tin và sức sống cho chúng.
3. Joyce & Dolls Rose Dew với tinh dầu chiết xuất từ hoa hồng, sản phẩm này đóng vai trò của các chức năng da trong việc khử mùi hôi của chó mèo một cách hiệu quả nhất.
4. Joyce & Dolls Violet Diamond với tinh dầu hoa Violet đóng vai trò cần thiết trong việc chống nôn nao và ho khạc. Sản phẩm này hỗ trợ hô hấp rất tốt, làm giảm ho, khó thở cho chó mèo.
5.Joyce & Dolls Tea Medoly với tinh dầu trà xanh có tác dụng kháng khuẩn oxy hóa. Sản phẩm này được phát triển với khả năng giữ ẩm da và cải thiện vẻ đẹp của lông chó mèo.
6.Joyce & Dolls Lotus Fluffy tinh chất hoa sen đây quà tặng đặc biệt cho các bé bị rối –vón lông, với công thức tạo hình 3D tạo kiểu cho pet iu, phù hợp với các bé Poodle,fox sóc, Yorkipoo,…
Sữa tắm cho chó mèo Joyce & Dolls Violet Diamond 400ml với công thức hương thơm 3 giai đoạn bởi Joyce & Dolls có công thức lưu mùi chia làm 3 giai đoạn hương thơm: Lúc tắm, sau khi tắm và sau vài ngày. 
Tinh dầu hoa Violet của sản phẩm là 100% tinh hoa thực vật tự nhiên. Cải thiện da khô, khôi phục sự đàn hồi của da, khiến nó luôn có da khỏe mạnh đủ độ đàn hồi. Sản phẩm này làm da bớt khô và mẫn cảm, giảm bớt sự căng thẳng, trầm cảm, khôi phục sức sống và sự tự tin. Công thức đậm đặc, pha loãng 6-8 lần khi sử dụng.
Thể tích Sữa tắm Joyce & Dolls Violet diamond là 400ml",https://bizweb.dktcdn.net/100/229/172/products/sua-tam-joyce-dolls-violet-1.jpg?v=1555088353313
Sữa Tắm Cho Chó Lông Trắng SOS 530ml (Sosxd),100.000₫,"Sữa tắm cho chó SOS là sữa tắm chuyên dụng riêng cho tất cả các loại chó, từ chó lông trắng tới chó lông nâu đỏ..
Sữa tắm cho chó mèo SOS Dành cho chó lông trắng , giữ màu lông ko bị ngả vàng , chỉ cần tắm 1 lần là có thể giúp bộ lông cảu thiện độ trắng sáng , đức biệt giúp lông mềm mượt mịn và thơm lâu

- Sữa tắm cho chó lông trắng SOS 530ml Loại dành cho chó lông trắng, giữ màu lông không bị ngả vàng bạn chỉ cần tắm 1 lần là trắng sáng , đặc biệt lông rất mềm mượt, mịn và thơm lâu
- Sữa tắm cho chó lông trắng SOS 530ml được bán tại Kún Miu pet shop
 ",https://bizweb.dktcdn.net/100/229/172/products/sua-tam-sos-cho-long-trang-min.jpg?v=1532990297480
Sữa Tắm Và Xả Cho Chó Con BUDLEBUDLE,200.000₫,"Sữa tắm và xả cho chó con BUDLEBUDLE 500ml
1
THÔNG TIN SẢN PHẨM
Tên sản phẩm:
SỮA TẮM VÀ XẢ BUBLE'BUDLE ECOLAND PUPPY SHAMPOO & RINSE.
Model:
BB105
Dung tích:
500ml
Chức năng:
Làm sạch và giữ ẩm cho bộ lông của thú cưng.
Thương hiệu:
L'ocean & Dòng Sản Phẩm Budle'Budle.
2
MÔ TẢ SẢN PHẨM Sữa tắm và xả cho chó con BUDLEBUDLE :
Công thức đặc biệt với những thành phần dịu nhẹ nhất sẽ làm sạch và giữ ẩm cho da và bộ lông của chú cún con chỉ với một bước đơn giản.
Được kết hợp giữa tinh chất trà xanh hữu cơ và chiết xuất cây mê diệt, sản phẩm giúp nuôi dưỡng, giữ ẩm và bảo vệ cho da và lông nhạy cảm của chú cún khi còn nhỏ.
Tinh dầu hạt nho được pha chế chuyên nghiệp với chiết suất  từ trái bưởi giúp ngăn ngừa kích ứng da và làm bộ lông thêm sáng bóng.
3
THÀNH PHẦN SẢN PHẨM
Chiết xuất trà xanh hữu cơ và cây mê diệt được chứng nhận bởi tổ chức Ecocert của Pháp.
Dầu hạt nho.
Chiết xuất từ trái bưởi.
4
HƯỚNG DẪN SỬ DỤNG
Làm ướt lông chú cún bằng nước ấm.
Sau đó cho Sữa tắm và xả cho chó con BUDLEBUDLE lên lông, chà xát nhẹ nhàng.
Xả lại thật sạch với nước.
5
THÔNG TIN THƯƠNG HIỆU
L'ocean & Dòng sản phẩm Budle'Budle
Công ty mỹ phẩm L'ocean được thành lập năm 1976, là nhà sản xuất các sản phẩm làm đẹp đồng thời là nhà tiếp thị mang tính toàn cầu. Trụ sở chính được đặt ở Bucheon Hàn Quốc, hiện có 21 thị trường khác nhau trên toàn thế giới và đang tiếp tục tìm kiếm những khách hàng mới trên khắp địa cầu. Là nhà sản xuất với đầy đủ các dòng mỹ phẩm như màu trang điểm, chăm sóc da, chăm sóc tóc và đặc biệt là sản phẩm chăm sóc thú cưng được L'ocean bắt đầu sản xuất từ năm 2003 với thương hiệu Budle'Budle. Hiện dòng sản phẩm chăm sóc thú cưng Budle'Budle của L'ocean đang dẫn đầu ngành công nghiệp châu Á, Budle'Budle đã được đăng ký bản quyền thương hiệu là dòng sản phẩm chăm sóc thú cưng cao cấp của L’ocean.",https://bizweb.dktcdn.net/100/229/172/products/sua-tam-va-xa-budle-cho-cho-con-min.jpg?v=1532991697190
"Dầu Tắm Trị Bọ Chét, Ve, Ghẻ, Rận Chó Mèo Hanvet Hantox Xanh (200ml) (Htx)",45.000₫,"THÀNH PHẦN
Sữa tắm trị ve, rận, bọ chét cho chó mèo Hantox shampoo chứa Pyrethroid [(1R,3R)-3(2,2-dibromovinyl)-2,2-dimethylcyclorpropane carbocylate(S)-α-cyano-3-phenoxybenzyl] hoạt chất không chứa lân hữu cơ nên ít độc, tác dụng kéo dài, hiệu quả cao, an toàn cho người, vật nuôi..
CÔNG DỤNG
- Diệt và phòng bọ chét, bét, ve, chấy, rận, ghẻ ở chó, mèo, thú nuôi.
* Màu vàng: Ko dùng cho chó mèo con
* Màu xanh: Dùng được cho chó mèo con
* Màu hồng: Dùng được cho chó mèo con + Khử mùi, dưỡng lông
CÁCH DÙNG
- Thấm ướt con vật, lấy lượng thuốc cần thiết, xoa nhẹ, cào đều thuốc khắp mình con vật sao cho tạo nhũ bọt xà phòng để thuốc thấm vào da, chân lông. Tránh để thuốc dây vào mắt, miệng và niêm mạc con vật.
- Để thuốc ngấm khoảng 5 phút rồi gội, tráng bằng nước sạch nhiều lần, sau đó lau và sấy khô, con vật sẽ có bộ lông óng, bông, mượt và không còn bất kỳ loại ký sinh trùng nào nữa.
- Sau khi tắm, các chất xà phòng trôi đi nhưng hoạt chất Pyrethroid vẫn bám lại được ở lông và mô thượng bì nên thuốc có tác dụng lâu dài diệt hay chống tái nhiễm ký sinh trùng.
- Nên tắm cho vật nuôi 15 ngày/ lần đề phòng tái nhiễm ký sinh trùng.
LIỀU DÙNG
Chó, mèo dưới 5 kg: 10 ml
16-35 kg: 40 ml
5-8 kg: 20 ml
9-15 kg: 25 ml
Trên 40 kg: 50 ml
CHÚ Ý
- Chỉ dùng ngoài cho gia súc
- Không để gần lửa, thức ăn.
- Rửa kỹ tay chân hay nơi bị thuốc bắn vào.
- Có thể dùng cho gia súc chửa.
- Để ngoài tầm tay của trẻ em.
BQ: Nơi khô, mát, tránh ánh sang.
HD: 24 tháng kể từ ngày sản xuất.
Quy cách: Lọ 200 ml.",https://bizweb.dktcdn.net/100/229/172/products/sua-tam-hantox-tri-ve-ran-xanh-2.jpg?v=1585590704340
Sữa Tắm Và Xả BUDLEBUDLE General,200.000₫,"Sữa tắm và xả BUDLEBUDLE General 500ml
1
THÔNG TIN SẢN PHẨM
Tên sản phẩm:
SỮA TẮM VÀ XẢ BUBLE'BUDLE ECOLAND GENERAL SHAMPOO & RINSE.
Model:
BB104
Dung tích:
500ml
Chức năng:
Làm sạch và dưỡng ẩm cho bộ lông của thú cưng.
Thương hiệu:
L'ocean & Dòng Sản Phẩm Budle'Budle.
2
MÔ TẢ SẢN PHẨM
Sữa tắm và xả BUDLEBUDLE General giúp làm sạch và dưỡng ẩm chỉ với một bước đơn giản.
Sản phẩm được pha chế chủ yếu từ chiết suất trà xanh hữu cơ và cây mê diệt, với công thức độc đáo kết hợp giữa các thành phần tự nhiên sẽ làm cho bộ lông trở nên mềm mại, sáng bóng và không bị xơ rối.
Tinh dầu Jojoba được cộng thêm để bảo vệ da khỏi bị kích ứng.
Chiết xuất từ cuống lá thường xuân giúp giữ ẩm và tăng thêm độ óng ả cho bộ lông.
3
THÀNH PHẦN SẢN PHẨM
Chiết xuất trà xanh hữu cơ và cây mê diệt được chứng nhận bởi tổ chức Ecocert của Pháp.
Dầu Jojoba.
Chiết xuất cây thường xuân.
4
HƯỚNG DẪN SỬ DỤNG
Làm ướt lông chú cún bằng nước ấm.
Sau đó cho Sữa tắm và xả BUDLEBUDLE General lên lông, chà xát nhẹ nhàng.
Xả lại thật sạch với nước.
5
THÔNG TIN THƯƠNG HIỆU
L'ocean & Dòng sản phẩm Budle'Budle
Công ty mỹ phẩm L'ocean được thành lập năm 1976, là nhà sản xuất các sản phẩm làm đẹp đồng thời là nhà tiếp thị mang tính toàn cầu. Trụ sở chính được đặt ở Bucheon Hàn Quốc, hiện có 21 thị trường khác nhau trên toàn thế giới và đang tiếp tục tìm kiếm những khách hàng mới trên khắp địa cầu. Là nhà sản xuất với đầy đủ các dòng mỹ phẩm như màu trang điểm, chăm sóc da, chăm sóc tóc và đặc biệt là sản phẩm chăm sóc thú cưng được L'ocean bắt đầu sản xuất từ năm 2003 với thương hiệu Budle'Budle. Hiện dòng sản phẩm chăm sóc thú cưng Budle'Budle của L'ocean đang dẫn đầu ngành công nghiệp châu Á, Budle'Budle đã được đăng ký bản quyền thương hiệu là dòng sản phẩm chăm sóc thú cưng cao cấp của L’ocean.",https://bizweb.dktcdn.net/100/229/172/products/sua-tam-va-xa-budle-general-min.jpg?v=1532991741073
"Dầu Tắm Trị Bọ Chét, Ve, Ghẻ, Rận Chó Mèo Hanvet Hantox Hồng (200ml)",45.000₫,"THÀNH PHẦN
Sữa tắm trị ve, rận, bọ chét cho chó mèo Hantox shampoo chứa Pyrethroid [(1R,3R)-3(2,2-dibromovinyl)-2,2-dimethylcyclorpropane carbocylate(S)-α-cyano-3-phenoxybenzyl] hoạt chất không chứa lân hữu cơ nên ít độc, tác dụng kéo dài, hiệu quả cao, an toàn cho người, vật nuôi..
CÔNG DỤNG
- Diệt và phòng bọ chét, bét, ve, chấy, rận, ghẻ ở chó, mèo, thú nuôi.
* Màu vàng: Ko dùng cho chó mèo con
* Màu xanh: Dùng được cho chó mèo con
* Màu hồng: Dùng được cho chó mèo con + Khử mùi, dưỡng lông
CÁCH DÙNG
- Thấm ướt con vật, lấy lượng thuốc cần thiết, xoa nhẹ, cào đều thuốc khắp mình con vật sao cho tạo nhũ bọt xà phòng để thuốc thấm vào da, chân lông. Tránh để thuốc dây vào mắt, miệng và niêm mạc con vật.
- Để thuốc ngấm khoảng 5 phút rồi gội, tráng bằng nước sạch nhiều lần, sau đó lau và sấy khô, con vật sẽ có bộ lông óng, bông, mượt và không còn bất kỳ loại ký sinh trùng nào nữa.
- Sau khi tắm, các chất xà phòng trôi đi nhưng hoạt chất Pyrethroid vẫn bám lại được ở lông và mô thượng bì nên thuốc có tác dụng lâu dài diệt hay chống tái nhiễm ký sinh trùng.
- Nên tắm cho vật nuôi 15 ngày/ lần đề phòng tái nhiễm ký sinh trùng.
LIỀU DÙNG
Chó, mèo dưới 5 kg: 10 ml
16-35 kg: 40 ml
5-8 kg: 20 ml
9-15 kg: 25 ml
Trên 40 kg: 50 ml
CHÚ Ý
- Chỉ dùng ngoài cho gia súc
- Không để gần lửa, thức ăn.
- Rửa kỹ tay chân hay nơi bị thuốc bắn vào.
- Có thể dùng cho gia súc chửa.
- Để ngoài tầm tay của trẻ em.
BQ: Nơi khô, mát, tránh ánh sang.
HD: 24 tháng kể từ ngày sản xuất.
Quy cách: Lọ 200 ml.",https://bizweb.dktcdn.net/100/229/172/products/sua-tam-hantox-tri-ve-ran-hong-2.jpg?v=1585590652723
Sữa Tắm Và Xả Lông Trắng BUDLEBUDLE,200.000₫,"Sữa tắm và xả lông trắng BUDLEBUDLE Ecoland White Shampoo & Rinse 500ml.
1.THÔNG TIN SẢN PHẨM
Tên sản phẩm:
SỮA TẮM VÀ XẢ LÔNG TRẮNG BUBLE'BUDLE ECOLAND WHITE SHAMPOO & RINSE
Model:
BB106
Dung tích:
500ml
Chức năng:
Làm sạch và dưỡng ẩm cho bộ lông của thú cưng.
Thương hiệu:
L'ocean & Dòng Sản Phẩm Budle'Budle.
2
MÔ TẢ SẢN PHẨM
Công thức độc đáo được phát triển độc quyền để làm sạch và dưỡng ẩm cho bộ lông của những chú cún lông trắng.
Sữa tắm và xả lông trắng BUDLEBUDLE được nghiên cứu với mục đích làm cho bộ lông trắng sáng và óng ả hơn trong khi vẫn kiểm soát được các vấn đề như xơ, rối và gãy rụng.
Chất lượng làm đẹp từ những thành phần hữu cơ tự nhiên thích hợp sẽ giúp bộ lông trở nên mượt mà óng ả.
Tinh dầu Oliu và rễ cây Lili thánh mẫu cũng được kết hợp vào sản phẩm để bảo vệ tốt cho da và bộ lông
  3
THÀNH PHẦN SẢN PHẨM
Chiết xuất trà xanh hữu cơ và cây mê diệt được chứng nhận bởi tổ chức Ecocert của Pháp.
Dầu Oliu.
Chiết xuất từ rễ cây Lili thánh mẫu.
4
HƯỚNG DẪN SỬ DỤNG
Làm ướt lông chú cún bằng nước ấm.
Sau đó cho Sữa tắm và xả lông trắng BUDLEBUDLE lên lông, chà xát nhẹ nhàng.
Xả lại thật sạch với nước.
5
THÔNG TIN THƯƠNG HIỆU
L'ocean & Dòng sản phẩm Budle'Budle
Công ty mỹ phẩm L'ocean được thành lập năm 1976, là nhà sản xuất các sản phẩm làm đẹp đồng thời là nhà tiếp thị mang tính toàn cầu. Trụ sở chính được đặt ở Bucheon Hàn Quốc, hiện có 21 thị trường khác nhau trên toàn thế giới và đang tiếp tục tìm kiếm những khách hàng mới trên khắp địa cầu. Là nhà sản xuất với đầy đủ các dòng mỹ phẩm như màu trang điểm, chăm sóc da, chăm sóc tóc và đặc biệt là sản phẩm chăm sóc thú cưng được L'ocean bắt đầu sản xuất từ năm 2003 với thương hiệu Budle'Budle. Hiện dòng sản phẩm chăm sóc thú cưng Budle'Budle của L'ocean đang dẫn đầu ngành công nghiệp châu Á, Budle'Budle đã được đăng ký bản quyền thương hiệu là dòng sản phẩm chăm sóc thú cưng cao cấp của L’ocean.
 ",https://bizweb.dktcdn.net/100/229/172/products/sua-tam-va-xa-budle-long-trang-min.jpg?v=1532991652803
"Dầu Tắm Trị Bọ Chét, Ve, Ghẻ, Rận Hanvet Hantox Vàng (200ml) (Htv)",40.000₫,"THÀNH PHẦN
Sữa tắm trị ve, rận, bọ chét cho chó mèo Hantox shampoo chứa Pyrethroid [(1R,3R)-3(2,2-dibromovinyl)-2,2-dimethylcyclorpropane carbocylate(S)-α-cyano-3-phenoxybenzyl] hoạt chất không chứa lân hữu cơ nên ít độc, tác dụng kéo dài, hiệu quả cao, an toàn cho người, vật nuôi..
CÔNG DỤNG
- Diệt và phòng bọ chét, bét, ve, chấy, rận, ghẻ ở chó, mèo, thú nuôi.
* Màu vàng: Ko dùng cho chó mèo con
* Màu xanh: Dùng được cho chó mèo con
* Màu hồng: Dùng được cho chó mèo con + Khử mùi, dưỡng lông
CÁCH DÙNG
- Thấm ướt con vật, lấy lượng thuốc cần thiết, xoa nhẹ, cào đều thuốc khắp mình con vật sao cho tạo nhũ bọt xà phòng để thuốc thấm vào da, chân lông. Tránh để thuốc dây vào mắt, miệng và niêm mạc con vật.
- Để thuốc ngấm khoảng 5 phút rồi gội, tráng bằng nước sạch nhiều lần, sau đó lau và sấy khô, con vật sẽ có bộ lông óng, bông, mượt và không còn bất kỳ loại ký sinh trùng nào nữa.
- Sau khi tắm, các chất xà phòng trôi đi nhưng hoạt chất Pyrethroid vẫn bám lại được ở lông và mô thượng bì nên thuốc có tác dụng lâu dài diệt hay chống tái nhiễm ký sinh trùng.
- Nên tắm cho vật nuôi 15 ngày/ lần đề phòng tái nhiễm ký sinh trùng.
LIỀU DÙNG
Chó, mèo dưới 5 kg: 10 ml
16-35 kg: 40 ml
5-8 kg: 20 ml
9-15 kg: 25 ml
Trên 40 kg: 50 ml
CHÚ Ý
- Chỉ dùng ngoài cho gia súc
- Không để gần lửa, thức ăn.
- Rửa kỹ tay chân hay nơi bị thuốc bắn vào.
- Có thể dùng cho gia súc chửa.
- Để ngoài tầm tay của trẻ em.
BQ: Nơi khô, mát, tránh ánh sang.
HD: 24 tháng kể từ ngày sản xuất.
Quy cách: Lọ 200 ml.",https://bizweb.dktcdn.net/100/229/172/products/sua-tam-hantox-tri-ve-ran-vang-2.jpg?v=1585590730923
Sữa Tắm Cho Mèo Con Lee Webster,200.000₫,"Sữa tắm cho mèo con Lee Webster 280ml
- Sữa tắm cho mèo con Lee Webster 280ml có thành phần nguyên liệu tự nhiên.Sản phẩm giúp cân bằng pH, làm mềm da, mượt lông.Tái tạo protein bị hư tổn, phục hồi và duy trì độ ẩm, giúp bộ lông luôn óng ả, mượt mà.
- Sữa tắm cho mèo con Lee Webster được bán tại Kún Miu pet shop",https://bizweb.dktcdn.net/100/229/172/products/sua-tam-cho-meo-con-lee-webster-min.jpg?v=1532989809567
