name,price,description,link_image
Thức Ăn Khô Cho Mèo ProPlan Indoor & Hairball,370.000₫,"THÔNG TIN CHI TIẾT
 Sản phẩm  Thức ăn khô cho mèo ProPlan Kitten
 Công dụng
 - Đào thải búi lông một cách tự nhiên, giúp đường ruột mèo luôn khoẻ mạnh
 - Thúc đẩy chức năng tiêu hóa và làm giảm mùi của phân đáng kể
 - Phát triển tối đa cân nặng của mình nhờ hàm lượng protein dồi dào
 - Giúp nuôi dưỡng hệ miễn dịch khoẻ mạnh
 Trọng lượng   1.5kg, 1kg, 300g 100g
 Xuất xứ  Australia
MÔ TẢ SẢN PHẨM
Thức ăn khô cho mèo ProPlan Indoor & Hairball là hỗn hợp hoàn chỉnh và cân bằng dinh dưỡng vị thịt gà giúp kiểm soát búi lông dành cho mèo.
Thức ăn khô cho mèo ProPlan Indoor & Hairball đặc biệt dành riêng cho những chú mèo nuôi trong nhà. Với đặc tính lười vận động, khả năng tiêu hoá của những chú mèo này bị hạn chế đáng kể. Nhưng hàm lượng chất xơ dồi dào có trong ProPlan sẽ thúc đẩy chức năng tiêu hóa và làm giảm mùi của phân đáng kể. Đặc biệt còn giúp đào thải búi lông một cách tự nhiên, giúp đường ruột mèo luôn khoẻ mạnh.
Thức ăn khô cho mèo ProPlan Indoor & Hairball có hàm lượng protein dồi dào giúp mèo phát triển toàn diện về thể trạng, đồng thời vitamin và khoáng chất cũng bảo vệ hệ miễn dịch tối đa. Đảm bảo mèo sẽ luôn duy trì sức khoẻ tuyệt vời.
Hướng dẫn bảo quản: Bảo quản ở nơi khô ráo và thoáng mát, tránh ánh nắng mặt trời.
Nhà sản xuất: Nestle Purina Petcare - Blayney Factory
Xuất xứ: Australia. 
 ",https://bizweb.dktcdn.net/100/229/172/products/thu-c-a-n-purina-proplan-9.jpg?v=1689870235083
Thức Ăn Cho Mèo Cat'S Eye Túi 1kg (Ce1),80.000₫,"THÔNG TIN CHI TIẾT 
 Thương hiệu  Cat's Eye
 Xuất xứ  Hàn Quốc
 HDSD  Dùng cho mèo ở mọi độ tuổi: mèo con, mèo trưởng thành và giai đoạn cho con bú
 Trọng lượng  1kg
 Lưu ý
 Bảo quản ở nơi thoáng mát 
MÔ TẢ SẢN PHẨM
Thức ăn cho mèo Cat's eye túi 1kg là thức ăn Hàn Quốc dành cho mèo ở mọi độ tuổi với thành phần dinh dưỡng vượt trội cùng hương vị thơm ngon.
Thức ăn cho mèo Cat's eye túi 1kg hỗ trợ các vấn đề về rụng lông ở mèo, giúp chúng có bộ lông dày, mềm mượt với hàm lượng đạm 31,5%. Vitamin A và tautin cải thiện thị lực và các vấn đề liên quan đến mắt giúp mắt chúng sáng hơn, tinh nhanh hơn. Chất xơ tự nhiên Cellulose giúp loại bỏ lông vón cục trong ruột của mèo, cải thiện hệ tiêu hoá. Bên cạnh đó, hạt lanh và cá nhằm cung cấp chất béo omega 3&6 giảm bớt mùi hôi của phân.
Sản phẩm với lượng đạm, chất xơ, các vitamin và khoáng chất, phù hợp với nhu cầu dinh dưỡng của mèo ở mọi độ tuổi, giúp chúng phát triển toàn diện với hệ tiêu hoá và hệ miễn dịch tốt.
Thức ăn cho mèo Cat's eye túi 1kg có thành phần:
Chất đạm thô > 31.5%
Chất béo > 12.5%
Chất xơ < 4.0%
Chất tro < 12.0%
Canxi < 1.0% – 2.0%
Photpho > 1.60%
Xuất xứ: Hàn Quốc
#catseye #thucanchomeo #Hanquoc #kunmiupetshop
 ",https://bizweb.dktcdn.net/100/229/172/products/tu-i-chia-cat-s-eye-fd966d3e-8623-49e9-872b-6f94be1cfbf9.jpg?v=1634889279567
Thức Ăn Cho Mèo Hàn Quốc Catsrang - Hộp 1kg (Crh1),90.000₫,"THÔNG TIN CHI TIẾT
 Thương hiệu  Catsrang
 Xuất xứ TH  Hàn Quốc
 Nguyên liệu chính  Thịt gà xay nhỏ, cá xay nhỏ, gạo, mỡ gà, gan gà xay nhỏ, muối, vitamin, taurin
 HDSD  Dùng cho mèo trưởng thành
 Xuất xứ  Hàn Quốc
 Trọng lượng  1kg 
MÔ TẢ SẢN PHẨM
Thức ăn cho mèo Hàn Quốc Catsrang - Hộp 1kg đến từ Hàn Quốc vơi công thức đặc biệt đảm bảo cung cấp dinh dưỡng cho mèo phát triển toàn diện.
Sản phẩm nổi tiếng với công dụng tăng cường vẻ đẹp da và lông, phòng tránh bệnh quáng gà nhờ các chất dinh dưỡng được cũng cấp cân bằng và đầy đủ, giúp phòng tránh các bệnh có thể phát sinh cho mèo.
Thức ăn cho mèo Hàn Quốc Catsrang - Hộp 1kg có thành phần: Thịt gà xay nhỏ, cá xay nhỏ, gạo, mỡ gà, gan gà xay nhỏ, muối, vitamin, taurin… giúp phòng ngừa loại bỏ lông thừa trong ruột cho mèo  dễ dàng tiêu hóa và giảm mùi khó chịu.
Thức ăn cho mèo Hàn Quốc Catsrang - Hộp 1kg được đóng trực tiếp từ bao lớn chính hãng. Trải qua công đoạn cân hạt, dập seal bạc và đóng nắp hộp, giúp bảo quản hạt ở chế độ tốt nhất.
Sản phẩm đảm bảo không sử dụng chất kháng sinh, chất bảo quản và hương liệu nhân tạo.
#catsrang #hopcatsrang #hanquoc #meo
 ",https://bizweb.dktcdn.net/100/229/172/products/ho-p-catsrang-1kg-f6fe1d7a-4f7b-4ceb-a604-7788cdec9f2e.jpg?v=1634717176323
Pate Me-O Kitten 80g,12.000₫,"THÔNG TIN CHI TIẾT
 Thương hiệu  Me-o 
 Xuất xứ TH  Thái Lan 
 Nguyên liệu  Cá ngừ
 Hương vị
 Cá ngừ nhuyễn tươi ngon.
 HDSD  Cho mèo con ăn trực tiếp
 Trọng lượng  80g
 Lưu ý
 Bảo quản ở nơi thoáng mát
 Quy cách   Gói 80g
MÔ TẢ SẢN PHẨM
Pate Me-o Kitten 80g là thức ăn mềm dành riêng cho mèo con với hàm lượng dinh dưỡng cân bằng mang đến sức khoẻ toàn diện và hệ miễn dịch phát triển. 
Pate Me-o Kitten 80g được mèo yêu thích bởi hương vị thơm ngon, tươi sống:
- Cá ngừ (Hồng): Vị cá ngừ nhuyễn thơm ngon.
Pate Me-o Kitten 80g có lợi ích:
- Bổ sung dinh dưỡng để mèo con phát triển toàn diện
- Bổ sung canxi giúp răng và xương chắc khỏe.
- Bổ sung DHA giúp trí não phát triển tốt.
#me-o #meo #kunmiupetshop #pate #kitten
 ",https://bizweb.dktcdn.net/100/229/172/products/pate-me-o-kitten-ho-ng.jpg?v=1628768583400
Pate Cho Mèo Inaba Kin No Dashi Hộp Nhựa 80g,25.000₫,"- Pate cho mèo Inaba Kin no Dashi hộp nhựa 80g có 3 hương vị thơm ngon là sự lựa chọn tuyệt vời cho mèo cưng của bạn, và 1 hương vị dành riêng cho mèo con
- Thành phần trà xanh có trong pate giúp khử mùi hôi miệng, giảm mùi chất thải
- Không chứa chất tạo màu tổng hợp và chất bảo quản..
Pate cho mèo Inaba là một sản phẩm thức ăn ướt cho mèo của hãng INABA đến từ Nhật Bản.
Pate Ciao được chế biến từ các nguyên liệu tự nhiên tươi ngon với nguyên liệu chủ yếu là thịt cá ngừ, phù hợp với mèo ở mọi lứa tuổi với dinh dưỡng cao và mùi vị thơm ngon, quyến rũ cả những chú mèo khó tính nhất.
LỢI ÍCH:
- An toàn cho hệ tiêu hóa thú cưng của bạn
- Bổ sung tinh chất trà xanh chống lão hóa, hỗ trợ tiêu hóa
- Bổ sung Vitamin E chống oxi hóa, bảo vệ làn da và đẩy mạnh các quá trình chuyển hóa
Ngoài ra còn rất nhiều sản phẩm pate, súp thưởng cho mèo của hãng Inaba Nhật bản để các bạn lựa chọn. Hãy truy cập gian hàng Kún Miu pet shop để lựa chọn và đặt hàng các bạn nhé. Đừng quên theo dõi gian hàng để cập nhật những sản phẩm mới và những ưu đãi cực hấp dẫn nhé !",https://bizweb.dktcdn.net/100/229/172/products/pate-cho-meo-inaba-kin-no-dashi-hop-nhua-80g-qic-01c-1.jpg?v=1560498289330
Thức Ăn Cho Mèo Pate Royal Canin Instinctive 7+,32.000₫,"Thức ăn cho mèo Pate Royal Canin Instinctive +7 dành cho mèo từ 7 đến 12 tuổi và được chế biến với chế độ dinh dưỡng cân bằng mà mèo cao tuổi của bạn cần để có sức khỏe tối ưu..
Thức ăn cho mèo Pate Royal Canin có Công thức của chúng tôi có tỷ lệ lý tưởng của năng lượng có nguồn gốc từ protein, chất béo và carbohydrate cho sự lão hóa lành mạnh.
Mức phốt pho thích nghi hỗ trợ sức khỏe thận. Và protein tiêu hóa cao cho tiêu hóa khỏe mạnh.
 ",https://bizweb.dktcdn.net/100/229/172/products/pate-cho-meo-royal-canin-instinctive-7-2.jpg?v=1565419129453
Thức Ăn Cho Mèo Con REFLEX KITTEN Vị Thịt Gà (RK),45.000₫,"THÔNG TIN CHI TIẾT 
 Thương hiệu  REFLEX
 Xuất xứ TH  Thổ Nhĩ Kỳ
 Nguyên liệu  Thịt gà 
 HDSD  Dùng cho mèo con từ 0.5 - 5kg, cho mèo ăn trực tiếp
 Trọng lượng  1,5kg và 15kg
 Lưu ý
 Bảo quản ở nơi thoáng mát 
 Quy cách   Gói 1,5kg và 15kg
MÔ TẢ SẢN PHẨM
Thức ăn cho mèo con REFLEX KITTEN vị thịt gà là thức ăn cho mèo con với hương vị thịt gà thơm ngon, được làm từ hỗn hợp hoàn chỉnh cao cấp. 

Thức ăn cho mèo con REFLEX KITTEN vị thịt gà dành cho mèo con có thể trọng từ 0.5 – 5kg. Sản phẩm chức năng đặc biệt sau:
- Công thức đặc biệt cao cấp dành cho các giống mèo con.
- Bổ sung Vitamin A, D3, E, C và khoáng chất.
- Sự cân bằng của Omega 3 & Omega 6 đã đạt được bằng cách sử dụng hạt lanh giúp lông bóng mượt.
- Chiết xuất cây Yucca giúp tăng khả năng hấp thụ dinh dưỡng, kiểm soát mùi. Men bia giúp hệ thống miễn dịch được tăng cường & năng suất vật nuôi được cải thiện.

Thành phần nguyên liệu Thức ăn cho mèo con REFLEX KITTEN vị thịt gà: Bắp, gạo, mỡ gà, vỏ hạt mã đề, xơ mía, bã củ dền, hương gan, vitamin và khoáng chất, di-methionine, men bia, hạt lanh, xylo-oligosaccharides, muối, l-carnitine, chiết xuất cây yucca schidigera, chất bảo quản chống oxy hoá.
Xuất xứ: Thổ Nhĩ Kỳ.
#Thucanchomeo #Reflex #meo #kitten #Kunmiupetshop
Thức ăn cho mèo con REFLEX KITTEN vị thịt gà",https://bizweb.dktcdn.net/100/229/172/products/reflex-kitten-1kg.jpg?v=1629725207270
"Bánh Thưởng Cho Mèo USA Juicy Bites 11,3g",45.000₫,"THÔNG TIN CHI TIẾT
 Sản phẩm  Bánh thưởng cho mèo USA Juicy Bites 11,3g
 HDSD  Làm thức ăn thưởng cho mèo
 Công dụng
 - Bổ sung protein để mèo phát triển khoẻ mạnh.
 - Kích thích vị giác khiến mèo ngon miệng hơn.
 - An toàn cho hệ tiêu hóa nhạy cảm của mèo.
 Trọng lượng  11,3g
 Hương vị   5 hương vị hấp dẫn: cá ngừ & gà, cá & ngao, sò điệp & cua, tôm & hải sản, nước thịt & mực
MÔ TẢ SẢN PHẨM
Bánh thưởng cho mèo USA Juicy Bites 11,3g nổi tiếng thơm ngon với những hương vị đặc biệt tươi sống từ sò điệp, mực, ngao, tôm sẽ khiến mèo nhà bạn mê mẩn.
Bánh thưởng cho mèo USA Juicy Bites 11,3g là thương hiệu đến từ Mỹ, nổi tiếng với chất lượng tuyệt vời và công nghệ sản xuất hiện đại đem đến sự bảo toàn dinh dưỡng cho thức ăn mèo.
Bánh thưởng cho mèo USA Juicy Bites 11,3g giúp kích thích vị giác khiến mèo tiết ra nhiều dịch vị và thấy ngon miệng hơn. Bên cạnh đó, lượng protein được bổ sung dồi dào khiến mèo yêu phát triển toàn diện.
Sản phẩm có tới 5 hương vị đa dạng để bạn thoải sức lựa chọn: cá ngừ & gà, cá & ngao, sò điệp & cua, tôm & hải sản, nước thịt & mực.
Chỉ tiêu chất lượng:
Độ ẩm ≤ 71%; Protein ≥ 24%; Béo thô ≥ 2.5%; Xơ thô ≤ 0.5%.
Hướng dẫn sử dụng: Cho ăn như bánh thưởng, sản phẩm này không dùng thay thế bữa ăn chính.
Bảo quản: Để vào tủ lạnh sau khi mở gói.
#banhthuong #Juicybites #kunmiupetshop
Bánh thưởng cho mèo USA Juicy Bites 11,3g vị cá ngừ & gà
  Bánh thưởng cho mèo USA Juicy Bites 11,3g cá & ngao
  Bánh thưởng cho mèo USA Juicy Bites 11,3g sò điệp & cua
  Bánh thưởng cho mèo USA Juicy Bites 11,3g tôm & hải sản
  Bánh thưởng cho mèo USA Juicy Bites 11,3g nước thịt & mực
   ",https://bizweb.dktcdn.net/100/229/172/products/ba-nh-thu-o-ng-cho-me-o-usa-juicy-bites-11-3g-tuna-chicken-flavor-ca-ngu-ga-xanh-du-o-ng-da-m.jpg?v=1654177057807
Pate Cho Mèo Inaba Oishii Lon 155gr,30.000₫,"Pate cho mèo Inaba Oishii lon 155gr là dòng sản phẩm được ưa chuộng nhất tại Nhật Bản và Singapore , do mùi vị hấp dẫn, nguyên liệu tươi ngon hảo hạng cùng tính sử dụng tiện lợi..
- An toàn cho hệ tiêu hóa của thú cưng, không chất bảo quản
- Bổ sung tinh chất trà xanh chống lão hóa, hỗ trợ tiêu hóa
- Bổ sung Vitamin E chống Oxy hóa, tăng cường chuyển hóa thức ăn thành dinh dưỡng, bảo vệ da cho thú cưng.
- Pate cho mèo Inaba có thể Sử dụng như bữa ăn chính.",https://bizweb.dktcdn.net/100/229/172/products/pate-cho-meo-inaba-oishii-can-155gr-iwf-86c-1.jpg?v=1560441664893
Phô Mai Cuộn Cho Chó Bow Wow Cheese Roll 120g,60.000₫,"THÔNG TIN CHI TIẾT
 Sản phẩm  Phô mai cuộn cho chó Bow wow cheese roll 120g
 Công dụng
 - Bổ sung chất dinh dưỡng thiết yếu cho thú cưng
 - Giảm tỷ lệ cholesterol xấu trong huyết thanh, ngăn ngừa béo phì ở thú cưng
 - Cải thiện chức năng gan. Đặc biệt không có hại cho tim và thận nhờ lượng muối thấp, từ đó kéo dài tuổi thọ của thú cưng.
 Trọng lượng   120g
 Xuất xứ  Hàn Quốc
MÔ TẢ SẢN PHẨM
Phô mai cuộn cho chó Bow wow cheese roll 120g là thức ăn bổ dưỡng cho chó và mèo, nhất là chó con và chó mẹ sau khi sinh.
Phô mai cuộn cho chó Bow wow cheese roll 120g nổi tiếng giúp giảm tỷ lệ cholesterol xấu trong huyết thanh, ngăn ngừa béo phì ở thú cưng. Bên cạnh đó, sản phẩm còn giúp cải thiện chức năng gan. Đặc biệt không có hại cho tim và thận nhờ lượng muối thấp, từ đó kéo dài tuổi thọ của thú cưng.
Phô mai cuộn cho chó Bow wow cheese roll 120g rất thích hợp để làm bánh thưởng huấn luyện chó mèo với 2 hương vị thơm ngon là thịt gà và cá hồi.
 ",https://bizweb.dktcdn.net/100/229/172/products/bow-wow-pho-mai-cuon-ga-1709195207055.jpg?v=1709440731433
